Date,Sell_Fiat_Amount,Fee_Fiat_Amount,Buy_Fiat_Amount,Tx_Hash,Link,total_paid_claims
06/24/2021,7.55876795154978186144,20.9913522624,1199.6602592304429414459314976,0xd54af75503090ac9d8ded9fddc931fc8a001ce338bc51690a94c2f2e390fb27c,https://etherscan.io/tx/0xd54af75503090ac9d8ded9fddc931fc8a001ce338bc51690a94c2f2e390fb27c,28.550120213949782
06/18/2021,12.07848033585118047274,29.72889844128,1541.099591660324683567941594,0xf8b9ae49c7bb50bad022645982cec8d2d10ffc7219b000dccbaa1082b7b42063,https://etherscan.io/tx/0xf8b9ae49c7bb50bad022645982cec8d2d10ffc7219b000dccbaa1082b7b42063,41.80737877713118
06/10/2021,11.82621719050441562244,43.7000126416128,1238.225601563132626117665216,0x7d43311a1bcc920f226ad0e4dfe0e8488c9ad28d3190ef062543e64c896a601d,https://etherscan.io/tx/0x7d43311a1bcc920f226ad0e4dfe0e8488c9ad28d3190ef062543e64c896a601d,55.52622983211722
06/03/2021,25.90468979768763148266,57.246926633622,3077.593579247636019602102316,0x1f78c80b67e20a9b1a723af75a252b772ea9bf671bb19798ceb735041341402f,https://etherscan.io/tx/0x1f78c80b67e20a9b1a723af75a252b772ea9bf671bb19798ceb735041341402f,83.15161643130963
05/15/2021,38.5491383383504424832,246.4114271256,3702.06968683239047951654632,0x23053c754685f7d23047fbdbf2d17e156671e3ac82abf7c7921edb386c627afd,https://etherscan.io/tx/0x23053c754685f7d23047fbdbf2d17e156671e3ac82abf7c7921edb386c627afd,284.96056546395045
04/24/2021,10.05716199417518713204,121.479838299804,1540.9930672280632812172165989,0x51c474efacc2de2305eef281e504d700362fc1480440aa0bc1451399a673f05c,https://etherscan.io/tx/0x51c474efacc2de2305eef281e504d700362fc1480440aa0bc1451399a673f05c,131.5370002939792
04/15/2021,16.55914743773224197054,131.069070825,3137.2292759237970681476049286,0x46f70605a97c4051c814cc9ace91f35199ce0a16dc57c554b83fedee3a1e3414,https://etherscan.io/tx/0x46f70605a97c4051c814cc9ace91f35199ce0a16dc57c554b83fedee3a1e3414,147.62821826273225
04/06/2021,42.0236961178979887107,230.24615049414,7397.2067396468744943987008,0x845afa670fad27c16a39aa81688f61ffef54de3ffc43f2bed21355104060260b,https://etherscan.io/tx/0x845afa670fad27c16a39aa81688f61ffef54de3ffc43f2bed21355104060260b,272.269846612038
03/08/2021,8.32079382212614176087,108.94015436184,838.5205316492799813495942819,0x5cf5155a0962e39b902085a19f038baa3ff1986152bf0762dd606568c5b3507b,https://etherscan.io/tx/0x5cf5155a0962e39b902085a19f038baa3ff1986152bf0762dd606568c5b3507b,117.26094818396615
02/28/2021,4.15040942701130393532,74.9012944482,317.868350144078748186891654,0x7e393d5e43960134d271199d14114e423ad34b49e05f2931fb819242f495eadb,https://etherscan.io/tx/0x7e393d5e43960134d271199d14114e423ad34b49e05f2931fb819242f495eadb,79.0517038752113
02/23/2021,13.22501172362388537946,119.48234997192,1287.8103606007515720386416974,0x5b89779d7be888a7f98a3ad4088ed20e18312c6454552082a151a54d6df5795a,https://etherscan.io/tx/0x5b89779d7be888a7f98a3ad4088ed20e18312c6454552082a151a54d6df5795a,132.70736169554388
